@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FX,FREQ,Country or Index type,Frequency
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-16,1986-09-16,105.8212,105.8212,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-17,1986-09-17,105.2423,105.2423,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-18,1986-09-18,104.3382,104.3382,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-19,1986-09-19,104.0314,104.0314,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-22,1986-09-22,105.0946,105.0946,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-23,1986-09-23,105.696,105.696,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-24,1986-09-24,105.6546,105.6546,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-25,1986-09-25,105.7584,105.7584,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-26,1986-09-26,105.7031,105.7031,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
daily,FED,H10,Foreign Exchange Rates,V0.JRXWTFN_N.B,Nominal Major Currencies Dollar Index (Goods Only) – Business day,1986-09-29,1986-09-29,105.2307,105.2307,MJCG,9,Nominal Major Currencies Dollar Index (Goods Only),Business day
